business_id|name|address|city|postal_code|latitude|longitude|phone_number|TaxCode|business_certificate|application_date|owner_name|owner_address|owner_city|owner_state|owner_zip
10|Tiramisu Kitchen|033 Belden Pl|San Francisco|94104|37.791116|-122.403816||H24|779059||Tiramisu LLC|33 Belden St|San Francisco|CA|94104
17|GEORGE'S COFFEE SHOP|2200 OAKDALE Ave |S.F.|94124|37.741086|-122.401737|14155531470|H24|78443|4/5/1975|LIEUW, VICTOR & CHRISTINA C|648 MACARTHUR DRIVE|DALY CITY|CA|94015
19|Nrgize Lifestyle Cafe|1200 Van Ness Ave, 3rd Floor|San Francisco|94109|37.786848|-122.421547||H24|||24 Hour Fitness Inc|1200 Van Ness Ave, 3rd Floor|San Francisco|CA|94109
24|OMNI S.F. Hotel - 2nd Floor Pantry|500 California St, 2nd  Floor|San Francisco|94104|37.792888|-122.403135||H24|352312||OMNI San Francisco Hotel Corp|500 California St, 2nd Floor|San Francisco|CA|94104
29|CHICO'S PIZZA|131 06th St |S.F.|94103|37.774722|-122.406761|14155251111|H24|939325|11/29/2000|AL-HAKIM, HANI|186 MARBLY AVE.|DALY CITY|CA|94015
31|Norman's Ice Cream and Freezes|2801 Leavenworth St |San Francisco|94133|37.807155|-122.419004||H24|346882||Norman Antiforda|2801 Leavenworth St|San Francisco|CA|94133
45|CHARLIE'S DELI CAFE|3202 FOLSOM St |S.F.|94110|37.747114|-122.413641||H24|340024|10/10/2001|HARB, CHARLES AND KRISTIN|1150 SANCHEZ|S.F.|CA|94114
48|ART'S CAFE|747 IRVING St |SAN FRANCISCO|94122|37.764013|-122.465749||H24|318022||YOON HAE RYONG|1567 FUNSTON AVE|SAN FRANCISCO|CA|94122
50|SUSHI ZONE|1815  Market St. |SF|94103|37.771437|-122.423892|14155621114|H24|||AOYAMA, KIMIAKI|246 Ney Vst|SF|CA|94112
54|RHODA GOLDMAN PLAZA|2180 POST St |S.F.|94115|37.784626|-122.437734|14155345060|H24|417778||RHODA GOLDMAN PLAZA|2180 POST St|S.F.|CA|94115
56|CAFE X + O|1799 Church St |SF|94131|37.742325|-122.426476|14155823535|H24|347603||BOUSIAKIS, ADAM|1799 CHURCH|SF|CA|94131
58|Oasis Grill|91 Drumm St |San Francisco|94111|37.794483|-122.396584||H24|954377||Mohammad Zughaiyir|91  Drumm St|San Francisco|CA|94111
61|Chowders|Pier 39  Space A3|San Francisco|94133|37.80824|-122.410189||H24|162485||Chowders, Inc|5685 Maxwelton Road|Okland|CA|94618
66|STARBUCKS|1800 IRVING St |S.F.|94122|37.763578|-122.477461||H24|911744||STARBUCKS COFFEE COMPANY|1800  IRVING St|S.F.|CA|94122
67|Revolution Cafe|3248 22nd St |SF|94110|37.755419|-122.419542||H24||10/1/2005|22nd Street LLC|3248 22nd St.|SF|CA|94110
70|KING-KONG|745 O'FARRELL St |SF|94109|37.785238|-122.416995|14155344645|H01|952829||TRAN, CUONG|745 O'FARRELL ST|SF|CA|94109
71|KAPPA RESTAURANT|1700 POST St K|S.F.|94115|37.785567|-122.430074|14155676004|H24|189531||KIMURA, TOSHIAKI & KIMURO, RUM|1700  POST St|S.F.|CA|94115
73|DINO'S UNCLE VITO|2101 Fillmore St |San Francisco|94115|37.788932|-122.433895||H24|186790|2/1/1989|STAVRAKIKIS DINO|"	2101 FILLMORE ST"|SAN FRANCISCO|CA|94115
76|OMNI S.F. Hotel - 3rd Floor Pantry|500 California St, 3rd Floor|San Francisco|94104|37.792888|-122.403135||H24|352312||OMNI San Francisco Hotel Corp|500 California St, 3rd Floor|San Francisco|CA|94104
77|OMNI S.F. Hotel - Employee Cafeteria|500 California St, Basement|San Francisco|94104|37.792888|-122.403135||H24|352312||OMNI San Francisco Hotel Corp|500 California St, Basement|San Francisco|CA|94104
80|LAW SCHOOL CAFE|2199 Fulton St |S.F.|94117|37.774941|-122.452797||H24|168329|5/23/2003|BON APPETIT MANAGEMENT COMPANY|2130 FULTON St|S.F.|CA|94117
81|CLUB ED/BON APPETIT|2350 TURK St |S.F.|94117|37.778468|-122.448484||H24|||Bon Appetit Management Co.|2350 Turk St.|SF|CA|94117
85|EL MAJAHUAL RESTAURANT|1142 VALENCIA St|SAN FRANCISCO|94110|37.754687|-122.420945|14155827514|H24|927938||Hernando Ledesma|1142 Valencia St|San Francisco|Ca|94110
88|J.B.'S PLACE|1435 17th St |S.F.|94107|37.765003|-122.398084||H24|957402|1/11/1991|NASRAH, NASSER I. & NAIEL I.|21 OAKRIDGE DR.|DALY CITY|CA|94015
98|XOX Truffles|754 Columbus Ave |San Francisco|94133|37.801665|-122.412104||H24|353311||Jean-Marc & Casimira T Gorce|754  Columbus Ave|San Francisco|CA|94133
99|J & M A-1 CAFE RESTAURANT LLC|779 Clay St |San Francisco|94108|37.794293|-122.405967||H24|439582||J & M A-1 CAFÉ RESTAURANT LLC|779 CLAY ST.|SAN FRANCISCO|CA|94108
101|Cable Car Corner|1099 Powell St |San Francisco|94108|37.794615|-122.409705||H24|944426||Pervez Noorali|1099 Powell St|San Francisco|CA|94108
102|Akiko's Sushi Bar|542A Mason St |San Francisco|94102|37.788484|-122.410045||H24|316776||Herman Chin|542 Mason Street|San Francisco|CA|94102
104|Ino Sushi|22 Peace Plaza  #510|S.F.|94115|37.785018|-122.429587|14155923121|H24|149300||Noboru Inoue|22 PEACE PLAZA #510|S.F.|CA|94115
108|Rue Lepic|900 Pine St|San Francisco|94108|37.790868|-122.410854||H24|350330||Michiko Boccara|900 Pine St|San Francisco|CA|94108
111|Petite Deli|752 Columbus Ave |San Francisco|94133|37.801665|-122.412104||H24|208338||Young Ae Choi & Tony J Choi|752 Columbus Ave|San Francisco|CA|94133
116|The Waterfront Restaurant|Pier 7 Embarcadero|San Francisco|94111|37.793874|-122.396464||H24|92446||Bundox Restaurant, Inc|Pier 7 Embarcadero|San Francisco|CA|94111
121|Akikos Sushi|431 Bush St |San Francisco|94108|37.790643|-122.404676||H24|183875||Chung H. Teng & Chin C. Lin|431  Bush St|San Francisco|CA|94102
125|Centerfolds|391 Broadway St |San Francisco|94133|37.798233|-122.403637||H07|||Deja Vu-San Francisco, LLC|391 Broadway ST|San Francisco|CA|94133
126|Broadway Dim Sum|684 Broadway St |San Francisco|94133|37.797708|-122.408413||H24|329415||Ken T Wong & Shu X Liu|684  Broadway St|San Francisco|CA|94133
130|Caffe Macaroni|59 Columbus Ave |San Francisco|94111|37.796208|-122.404308||H24|919157||CAFFE MACARONI INC|"	59 COLUMBUS AVE"|SAN FRANCISCO|CA|94111
132|Silver Star Cafe and Deli|316 Pacific Ave |San Francisco|94111|37.797668|-122.401125||H24|922022||Yan Wen Lei|316 Pacific Ave|San Francisco|CA|94111
134|Mint|400 McAllister St|San Francisco|94102|37.780247|-122.418974||H24|316211||NASRA R NASRA R NASRA H, et al.|400 MCALLISTER ST.|S.F.|CA|94102
140|Cafe Madeleine|300 California St |San Francisco|94104|37.793268|-122.400323||H24|356054||San Francisco Madeleine, Inc|300 California St|San Francisco|CA|94104
